Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
16	Interchange	33:00	-	-	-	-	-	-	-	-	20	11	103	-	39	-	-	-	-	1	11	-	4.22s	-	-	-	-	-	1	12	0.09	92.31%	12	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	33:00	-	2	Dragons	Titans
16	Interchange	27:00	-	-	-	-	-	-	-	-	33	5	40	-	16	-	-	-	-	-	5	-	3.56s	-	-	-	-	-	-	5	-	94.29%	33	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17:34	09:31	4	Dragons	Sharks
16	Interchange	41:00	-	-	-	-	-	-	-	-	25	5	50	19	15	-	-	-	-	-	4	-	4.26s	-	-	-	-	-	1	6	0.2	100%	24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	37:29	03:57	5	Dragons	Dolphins
16	Interchange	51:00	-	-	-	-	-	-	-	-	48	9	82	-	31	-	-	-	-	2	9	-	4.06s	-	-	-	2	-	1	10	0.11	91.89%	34	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	51:00	-	6	Dragons	Titans
16	Interchange	18:00	-	-	-	-	-	-	-	-	12	3	29	-	2	-	-	-	-	-	3	-	3.36s	-	-	-	-	-	-	3	-	92.31%	12	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18:05	-	7	Dragons	Raiders
16	Interchange	56:00	-	-	-	-	-	-	-	-	28	10	70	-	22	-	-	-	-	2	10	-	4.05s	-	-	-	-	-	1	12	0.1	88.57%	31	4	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	2	-	-	-	-	42:33	12:44	8	Dragons	Roosters
16	Interchange	30:00	4	1	-	-	-	-	-	-	23	5	46	-	13	1	-	-	-	-	4	-	3.22s	-	-	-	-	-	-	6	-	81.25%	13	2	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	30:15	-	9	Dragons	Bulldogs
18	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	Dragons	Wests Tigers
18	Interchange	36:00	-	-	-	-	-	-	-	-	26	3	33	-	10	-	-	-	-	1	3	-	3.9s	-	-	-	-	-	-	3	-	95.83%	23	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	35:59	-	11	Dragons	Cowboys
15	Interchange	36:00	-	-	-	-	-	-	-	-	25	5	31	-	9	-	-	-	-	-	5	-	4.3s	-	-	-	-	-	-	5	-	95.65%	22	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35:18	-	12	Dragons	Roosters
15	Interchange	32:00	4	1	-	-	-	-	-	-	49	6	47	-	20	1	-	-	-	2	6	-	3.64s	-	-	-	-	-	1	7	0.17	92.86%	26	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	32:34	-	13	Dragons	Dolphins
19	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	Dragons	Panthers
16	Interchange	33:00	-	-	-	-	-	-	-	-	27	7	62	-	18	-	-	-	-	-	7	-	4.07s	-	-	-	-	-	-	7	-	90%	27	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:42	08:06	18	Dragons	Sharks
16	Interchange	36:00	-	-	-	-	-	-	-	-	30	8	70	18	26	-	-	-	-	1	6	-	3.82s	-	-	-	1	-	-	8	-	87.5%	21	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:42	06:56	19	Dragons	Raiders
16	Interchange	33:00	-	-	-	-	-	-	-	-	29	6	48	-	22	-	-	-	-	-	6	-	3.55s	-	-	-	-	-	1	7	0.17	92.59%	25	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:23	05:53	21	Dragons	Wests Tigers
16	Interchange	45:00	-	-	-	-	-	-	-	-	25	7	70	-	34	-	-	-	-	-	7	-	3.32s	-	-	-	-	-	-	7	-	82.35%	28	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	21:36	24:10	22	Dragons	Sea Eagles
