Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
13	Lock	80:00	-	-	-	-	-	-	-	-	70	18	145	-	24	-	1	-	-	-	15	-	3.23s	-	-	-	1	-	11	27	0.61	94.44%	51	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	1	Warriors	Knights
13	Lock	80:00	-	-	-	-	-	-	-	-	69	15	144	-	62	-	-	-	-	-	11	-	3.08s	-	-	-	-	2	19	30	1.27	98.36%	60	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	80:00	-	2	Warriors	Roosters
13	Lock	80:00	-	-	-	-	-	-	-	-	51	15	142	-	39	-	-	-	-	-	14	-	3.33s	-	-	-	-	-	12	26	0.8	91.11%	41	1	3	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	3	Warriors	Cowboys
13	Lock	44:00	-	-	-	-	-	-	-	-	28	4	20	-	3	-	1	-	-	-	2	-	3.98s	-	-	-	-	-	15	17	3.75	85.71%	30	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	44:10	-	4	Warriors	Bulldogs
13	Lock	62:00	-	-	-	-	-	-	-	-	49	16	112	-	25	-	1	1	-	1	9	-	3.55s	-	-	-	-	3	21	29	1.31	97.06%	33	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	30:35	31:10	7	Warriors	Cowboys
13	Lock	38:00	-	-	-	-	-	-	-	-	27	11	81	-	24	-	-	-	-	1	7	-	2.98s	-	-	-	1	2	9	16	0.82	85%	17	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	37:45	-	8	Warriors	Storm
13	Lock	80:00	-	-	-	-	-	-	-	-	64	21	155	-	50	-	1	1	-	2	13	-	2.77s	-	-	-	-	6	24	38	1.14	88.89%	48	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	10	Warriors	Panthers
13	Lock	80:00	-	-	-	-	-	-	-	-	65	20	162	-	54	-	-	-	-	2	15	-	3.49s	-	-	-	-	4	12	27	0.6	88.89%	48	2	4	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	80:00	-	11	Warriors	Bulldogs
13	Lock	80:00	-	-	-	-	-	-	-	-	54	21	212	-	70	-	-	-	-	1	15	-	3.11s	-	-	-	-	3	21	37	1	86.67%	39	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	13	Warriors	Broncos
13	Lock	72:00	-	-	-	-	-	-	-	-	51	13	117	-	46	-	-	-	-	-	11	-	3.46s	-	-	-	-	8	23	34	1.77	95.24%	40	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	72:28	-	14	Warriors	Dolphins
13	Lock	74:00	-	-	-	-	-	-	-	-	58	16	130	-	45	-	1	1	-	-	9	-	3.04s	-	-	-	-	4	22	31	1.38	89.8%	44	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	61:50	11:44	15	Warriors	Raiders
13	Lock	68:00	-	-	-	-	-	-	-	-	43	19	161	20	62	-	-	-	-	2	16	-	3.43s	-	-	-	1	3	13	31	0.68	90%	27	3	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	67:34	-	17	Warriors	Dragons
13	Lock	71:00	-	-	-	-	-	-	-	-	63	16	125	-	41	-	-	-	-	-	11	-	3.35s	-	-	-	1	2	10	21	0.63	98.08%	51	-	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	47:21	23:50	18	Warriors	Rabbitohs
13	Lock	58:00	-	-	-	-	-	-	-	-	60	18	172	28	50	1	1	1	-	3	12	-	3.33s	-	-	-	-	4	9	23	0.5	90.91%	30	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55:10	03:10	19	Warriors	Eels
13	Lock	36:00	-	-	-	-	-	-	-	-	31	13	96	26	25	-	-	-	-	2	9	-	4.16s	-	-	-	1	-	4	15	0.31	100%	14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:43	11:07	20	Warriors	Sharks
13	Lock	54:00	-	-	-	-	-	-	-	-	59	10	90	-	24	-	-	-	-	1	6	-	2.99s	-	-	-	-	-	8	14	0.8	94.34%	50	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32:54	19:14	21	Warriors	Raiders
