Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
4	Centre	80:00	-	-	-	-	-	-	-	-	36	12	126	-	41	-	-	-	-	1	-	-	3.38s	-	-	-	1	-	3	14	0.25	85.71%	12	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	1	Sea Eagles	Bulldogs
4	Centre	80:00	-	-	-	-	-	-	-	-	31	14	162	-	48	1	-	-	-	3	-	-	2.64s	-	-	-	-	-	8	17	0.57	71.43%	15	3	3	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	3	Sea Eagles	Eels
4	Centre	82:00	-	-	-	-	-	-	-	-	28	19	161	-	66	-	-	-	-	7	1	-	3.6s	-	-	-	-	-	4	21	0.21	75%	9	3	-	-	1	-	-	-	-	-	-	-	-	-	3	3	-	-	-	-	-	-	-	82:00	-	4	Sea Eagles	Rabbitohs
4	Centre	80:00	-	-	-	-	-	-	-	-	27	20	170	-	54	-	-	-	-	3	-	-	3.64s	-	-	-	1	-	7	28	0.35	72.73%	8	3	-	-	-	1	-	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	10	Sea Eagles	Broncos
4	Centre	80:00	-	-	-	-	-	-	-	-	40	14	112	-	31	-	-	-	-	4	-	-	3.06s	-	-	-	-	-	6	17	0.43	85%	17	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	11	Sea Eagles	Sharks
4	Centre	80:00	-	-	-	-	-	-	-	-	31	13	115	-	31	-	-	-	-	6	-	-	3.29s	1	3	-	-	-	5	17	0.38	77.27%	17	4	1	-	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	12	Sea Eagles	Raiders
4	Centre	70:00	-	-	-	-	-	-	-	-	3	7	55	-	15	-	-	-	-	-	-	-	3.29s	-	-	-	-	-	4	11	0.57	63.64%	14	6	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	1	1	-	70:00	-	13	Sea Eagles	Knights
3	Centre	76:00	8	2	-	-	-	-	-	-	46	14	214	-	49	-	-	-	-	2	-	-	2.7s	-	-	-	-	2	6	18	0.43	81.82%	9	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	76:28	-	15	Sea Eagles	Dolphins
3	Centre	80:00	-	-	-	-	-	-	-	-	26	8	91	-	16	1	2	1	-	2	-	-	3.06s	-	-	-	-	-	5	10	0.63	50%	8	5	3	-	-	1	19	-	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	16	Sea Eagles	Eels
3	Centre	80:00	-	-	-	-	-	-	-	-	14	17	159	3	71	-	-	-	-	1	-	-	3.02s	-	-	-	-	-	9	24	0.53	66.67%	4	1	1	-	1	-	-	-	-	-	-	-	-	-	3	1	-	-	-	-	-	-	-	80:00	-	17	Sea Eagles	Storm
4	Centre	80:00	-	-	-	-	-	-	-	-	19	7	72	-	32	-	-	-	-	2	-	-	4.02s	-	-	-	-	-	12	18	1.71	76.19%	16	3	2	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	18	Sea Eagles	Roosters
4	Centre	80:00	-	-	-	-	-	-	-	-	21	14	153	35	65	-	-	-	-	3	-	-	2.81s	-	-	-	-	-	6	18	0.43	61.54%	8	3	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	20	Sea Eagles	Cowboys
4	Centre	80:00	8	2	-	-	-	-	-	-	58	18	212	-	66	2	1	-	-	4	1	-	3.05s	1	13	-	1	-	8	21	0.44	77.78%	7	1	1	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	21	Sea Eagles	Sharks
4	Centre	80:00	4	1	-	-	-	-	-	-	58	11	144	4	23	1	1	1	-	1	-	-	3.76s	-	-	-	-	-	7	18	0.64	87.5%	21	3	-	-	1	-	-	-	-	-	-	-	-	-	3	3	-	-	-	-	-	-	-	80:00	-	22	Sea Eagles	Dragons
