Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
17	Interchange	08:00	-	-	-	-	-	-	-	-	5	4	52	-	13	-	-	-	-	-	4	-	3.17s	-	-	-	-	-	-	4	-	100%	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	08:00	-	1	Warriors	Knights
17	Interchange	16:00	-	-	-	-	-	-	-	-	17	3	24	5	12	-	-	-	-	2	2	-	3.47s	-	-	-	-	-	1	4	0.33	100%	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16:23	-	2	Warriors	Roosters
17	Interchange	22:00	-	-	-	-	-	-	-	-	23	11	120	39	31	-	-	-	-	1	8	-	3.59s	-	-	-	-	-	-	11	-	100%	10	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	15:03	06:57	3	Warriors	Cowboys
17	Interchange	15:00	-	-	-	-	-	-	-	-	15	4	38	-	11	-	-	-	-	-	4	-	3s	-	-	-	-	-	-	4	-	100%	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14:34	-	4	Warriors	Bulldogs
17	Interchange	25:00	-	-	-	-	-	-	-	-	18	8	65	35	18	-	-	-	-	1	5	-	4.07s	-	-	-	-	-	-	8	-	100%	12	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	25:06	-	5	Warriors	Sharks
17	Interchange	46:00	-	-	-	-	-	-	-	-	49	14	155	48	36	-	-	-	-	2	10	-	3.77s	-	-	-	-	-	1	14	0.07	96.88%	31	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	32:49	12:34	6	Warriors	Knights
17	Interchange	35:00	-	-	-	-	-	-	-	-	40	7	66	27	19	-	-	-	-	4	5	-	3.63s	-	-	-	-	-	-	7	-	100%	26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35:52	-	7	Warriors	Cowboys
17	Interchange	37:00	-	-	-	-	-	-	-	-	26	11	87	-	38	-	-	-	-	2	10	-	3.31s	-	-	-	-	-	1	11	0.09	94.74%	18	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	27:11	09:12	8	Warriors	Storm
16	Interchange	39:00	-	-	-	-	-	-	-	-	39	14	128	10	36	-	-	-	-	-	13	-	4.25s	-	-	-	1	-	1	15	0.07	93.55%	29	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:58	15:22	9	Warriors	Roosters
17	Interchange	46:00	-	-	-	-	-	-	-	-	26	12	85	-	29	-	-	-	-	2	12	-	3.55s	-	-	-	-	-	-	12	-	74.29%	26	6	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30:52	15:01	10	Warriors	Panthers
17	Interchange	21:00	-	-	-	-	-	-	-	-	15	5	40	13	10	-	-	-	-	1	3	-	3.84s	-	-	-	-	-	-	5	-	78.57%	11	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21:06	-	11	Warriors	Bulldogs
17	Interchange	31:00	-	-	-	-	-	-	-	-	38	10	123	34	45	-	-	-	-	2	8	-	3.83s	-	-	1	-	-	1	13	0.1	100%	20	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	23:54	06:32	13	Warriors	Broncos
18	Interchange	15:00	-	-	-	-	-	-	-	-	11	6	65	12	23	-	-	-	-	-	5	-	4.25s	-	-	-	-	-	1	7	0.17	100%	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15:11	-	14	Warriors	Dolphins
17	Interchange	12:00	4	1	-	-	-	-	-	-	34	7	83	32	29	1	-	-	-	2	4	-	3.85s	1	9	-	-	-	-	7	-	85.71%	6	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12:01	-	15	Warriors	Raiders
17	Interchange	17:00	-	-	-	-	-	-	-	-	8	3	22	-	8	-	-	-	-	-	3	-	3.94s	-	-	-	-	-	1	4	0.33	88.89%	8	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17:00	-	17	Warriors	Dragons
17	Interchange	11:00	-	-	-	-	-	-	-	-	12	2	15	-	4	-	-	-	-	-	2	-	3.82s	-	-	-	-	-	-	2	-	100%	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11:21	-	18	Warriors	Rabbitohs
16	Interchange	28:00	-	-	-	-	-	-	-	-	20	7	67	-	24	-	-	-	-	-	7	-	3.61s	-	-	-	-	1	2	9	0.29	90.91%	20	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	28:00	-	19	Warriors	Eels
16	Prop	26:00	-	-	-	-	-	-	-	-	23	6	35	-	13	-	-	-	-	1	6	-	2.97s	-	-	-	-	-	-	6	-	100%	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15:53	09:39	20	Warriors	Sharks
