Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	28	12	100	-	12	-	1	-	-	5	1	-	4.2s	-	-	-	-	3	38	49	3.17	71.43%	10	3	1	-	1	1	31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	1	Cowboys	Raiders
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	35	7	53	-	18	1	-	-	-	4	-	-	3.93s	1	5	-	1	3	33	41	4.71	77.78%	21	4	2	-	1	2	29	-	2	-	-	-	-	-	-	1	-	-	-	-	-	-	-	80:00	-	2	Cowboys	Broncos
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	32	13	115	-	29	-	1	-	-	1	-	-	3.79s	2	27	-	-	4	40	52	3.08	86.21%	25	3	1	-	-	3	81	-	2	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	3	Cowboys	Warriors
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	52	9	99	-	16	3	-	-	-	5	-	-	3.82s	1	11	-	1	-	25	39	2.78	87.5%	14	2	-	-	1	7	126	2	2	2	-	-	3	-	-	-	-	1	-	-	-	-	-	80:00	-	4	Cowboys	Titans
6	Five-Eighth	85:00	4	1	-	-	-	-	-	-	57	13	105	4	13	-	-	-	-	3	-	-	3.64s	-	-	-	-	4	39	52	3	92.11%	35	3	-	-	1	5	109	-	1	1	-	-	-	-	-	1	-	-	-	-	-	-	-	85:00	-	5	Cowboys	Bulldogs
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	26	10	67	-	19	-	1	1	-	2	1	-	4.04s	-	-	-	-	5	39	47	3.9	92.31%	12	1	-	-	-	1	52	-	-	-	-	-	-	1	1	1	-	-	-	-	-	-	-	80:00	-	6	Cowboys	Dolphins
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	25	11	57	-	12	-	-	-	-	-	-	-	4.67s	1	3	-	1	5	28	37	2.55	90.91%	20	1	1	-	-	1	12	1	-	1	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	7	Cowboys	Warriors
6	Five-Eighth	80:00	4	1	-	-	-	-	-	-	38	13	91	-	8	-	-	-	-	2	-	-	4.12s	-	-	-	-	5	41	49	3.15	81.82%	18	3	1	-	-	2	47	-	1	1	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	8	Cowboys	Knights
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	66	11	92	3	15	2	-	1	-	4	-	-	4.12s	-	-	-	2	2	24	35	2.18	86.36%	19	2	1	-	-	3	81	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	80:00	-	9	Cowboys	Sharks
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	37	15	134	2	26	-	-	-	-	1	-	-	4.39s	1	11	-	-	5	32	41	2.13	95.65%	22	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	10	Cowboys	Roosters
6	Five-Eighth	80:00	8	2	-	-	-	-	-	-	58	9	120	-	3	1	-	-	-	4	-	-	5.08s	-	-	-	-	2	34	42	3.78	90.48%	19	2	-	-	-	3	48	1	1	2	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	11	Cowboys	Dragons
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	13	11	102	-	13	-	-	-	-	1	-	-	4s	1	9	-	-	3	28	37	2.55	65.38%	17	6	3	-	-	1	24	-	1	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	12	Cowboys	Wests Tigers
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	20	13	95	-	17	-	-	-	-	6	1	-	3.4s	-	-	-	-	5	36	46	2.77	57.14%	12	7	2	-	-	4	82	-	1	-	-	-	2	-	-	-	-	-	1	-	-	-	-	80:00	-	14	Cowboys	Storm
6	Five-Eighth	89:00	4	1	-	-	-	-	-	-	69	12	126	-	25	2	-	1	-	6	-	-	4.47s	2	35	-	1	2	35	47	2.92	91.3%	21	2	-	-	2	1	38	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	89:00	-	16	Cowboys	Panthers
6	Five-Eighth	80:00	4	1	-	-	-	-	-	-	57	13	98	-	14	-	1	1	-	3	-	-	4.79s	-	-	-	-	5	42	52	3.23	84.85%	28	2	3	-	1	3	82	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	17	Cowboys	Rabbitohs
6	Five-Eighth	80:00	4	1	-	-	-	-	-	-	90	16	202	-	17	3	3	2	-	10	-	-	5.53s	-	-	-	3	7	37	46	2.31	68.42%	13	4	2	-	1	1	20	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	18	Cowboys	Wests Tigers
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	32	16	118	-	21	-	1	1	-	3	-	-	3.38s	-	-	-	-	8	42	51	2.63	84%	21	4	-	-	-	1	21	-	1	-	-	-	-	-	1	1	-	1	1	-	-	-	-	80:00	-	20	Cowboys	Sea Eagles
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	38	11	69	-	8	1	-	1	-	3	-	-	3.86s	-	-	-	-	4	34	41	3.09	68%	17	1	7	-	-	2	20	-	-	2	-	-	-	-	-	-	-	-	1	1	-	-	-	80:00	-	21	Cowboys	Eels
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	21	14	99	1	33	-	-	-	-	3	-	-	4.04s	-	-	-	1	5	35	45	2.5	63.64%	14	6	2	-	1	1	35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	22	Cowboys	Titans
