Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
14	Interchange	43:00	4	1	-	-	-	-	-	-	57	6	55	-	17	1	1	1	-	5	5	-	3.92s	1	14	-	-	3	53	61	8.83	90.63%	29	3	-	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	40:06	03:07	1	Raiders	Cowboys
14	Interchange	46:00	-	-	-	-	-	-	-	-	49	10	100	-	26	-	-	-	-	1	9	-	3.65s	-	-	-	-	4	40	52	4	96.88%	31	-	1	-	-	1	10	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	44:08	01:54	2	Raiders	Dolphins
14	Interchange	78:00	-	-	-	-	-	-	-	-	70	6	59	-	15	-	2	2	-	-	2	-	2.76s	4	45	-	-	1	87	91	14.5	87.1%	54	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	78:00	-	3	Raiders	Sharks
14	Hooker	55:00	-	-	-	-	-	-	-	-	28	1	20	-	7	-	-	-	-	1	-	-	4s	1	20	-	-	1	68	69	68	82.98%	39	7	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	54:31	-	4	Raiders	Knights
14	Interchange	45:00	-	-	-	-	-	-	-	-	24	2	20	-	7	-	-	-	-	-	1	-	3.78s	1	15	-	-	-	30	32	15	85%	34	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	45:00	-	5	Raiders	Panthers
14	Interchange	24:00	-	-	-	-	-	-	-	-	13	4	27	-	4	-	-	-	-	-	3	-	4.91s	1	10	-	-	2	26	30	6.5	81.82%	18	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	24:00	-	6	Raiders	Broncos
14	Interchange	52:00	-	-	-	-	-	-	-	-	36	7	73	-	7	-	-	-	-	1	2	-	3.11s	5	66	-	-	-	53	58	7.57	96.67%	29	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	52:00	-	7	Raiders	Dragons
14	Interchange	55:00	-	-	-	-	-	-	-	-	33	7	58	-	15	-	-	-	-	-	3	-	2.7s	4	27	-	1	2	84	90	12	91.43%	32	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	55:00	-	9	Raiders	Dolphins
14	Interchange	26:00	-	-	-	-	-	-	-	-	17	5	34	-	12	-	-	-	-	-	1	-	3.78s	3	25	-	-	4	32	37	6.4	100%	13	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:00	-	10	Raiders	Bulldogs
14	Interchange	48:00	-	-	-	-	-	-	-	-	31	2	8	-	5	-	-	1	-	-	-	-	3.48s	2	8	-	-	-	73	72	36.5	88.24%	30	2	2	-	-	1	9	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	48:00	-	11	Raiders	Eels
