Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
11	2nd Row	84:00	-	-	-	-	-	-	-	-	45	14	115	-	39	-	-	-	-	1	14	-	3.03s	-	-	-	1	-	2	16	0.14	92.68%	38	2	1	-	-	-	-	-	-	-	-	-	-	-	2	2	-	1	-	-	-	-	-	84:00	-	1	Storm	Eels
11	2nd Row	80:00	-	-	-	-	-	-	-	-	41	11	92	-	40	-	-	-	-	2	11	-	3.48s	-	-	-	-	-	1	13	0.09	77.55%	38	6	5	-	-	-	-	-	-	-	-	-	-	-	1	1	1	-	-	-	-	-	-	80:00	-	2	Storm	Bulldogs
11	2nd Row	80:00	-	-	-	-	-	-	-	-	29	13	125	-	48	-	-	-	-	1	13	-	2.93s	-	-	-	-	-	1	14	0.08	82.76%	24	1	4	-	-	-	-	-	-	-	-	-	-	-	1	-	-	2	1	-	-	-	-	80:00	-	3	Storm	Titans
11	2nd Row	80:00	-	-	-	-	-	-	-	-	56	21	177	-	73	-	-	-	-	1	20	-	3.43s	-	-	-	-	1	2	25	0.1	90.24%	37	-	4	1	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	4	Storm	Wests Tigers
11	2nd Row	80:00	-	-	-	-	-	-	-	-	43	15	155	-	45	-	-	-	-	3	15	-	3.56s	-	-	-	-	-	3	19	0.2	84.31%	43	7	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	2	1	-	-	-	80:00	-	5	Storm	Rabbitohs
11	2nd Row	80:00	-	-	-	-	-	-	-	-	42	12	98	-	27	-	-	-	-	1	10	-	3.77s	-	-	-	-	-	4	14	0.33	94.29%	33	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	6	Storm	Roosters
11	2nd Row	80:00	-	-	-	-	-	-	-	-	53	11	88	5	29	-	-	-	-	1	8	-	3.71s	-	-	-	-	-	4	13	0.36	93.75%	45	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	80:00	-	7	Storm	Sea Eagles
11	2nd Row	80:00	-	-	-	-	-	-	-	-	58	11	85	-	35	-	1	1	-	-	10	-	3.77s	-	-	-	1	1	3	13	0.27	95.45%	42	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	8	Storm	Warriors
11	2nd Row	72:00	-	-	-	-	-	-	-	-	49	13	126	-	32	-	-	-	-	2	13	-	3.9s	-	-	-	-	1	3	15	0.23	93.94%	31	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	62:45	09:20	10	Storm	Rabbitohs
11	2nd Row	80:00	-	-	-	-	-	-	-	-	47	10	83	2	28	-	-	-	-	2	9	-	3.95s	-	-	-	-	-	2	12	0.2	85.42%	41	5	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	11	Storm	Broncos
11	2nd Row	80:00	-	-	-	-	-	-	-	-	43	12	98	-	44	-	-	-	-	2	12	-	3.19s	-	-	-	-	-	2	14	0.17	88.89%	32	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	12	Storm	Dolphins
11	2nd Row	80:00	-	-	-	-	-	-	-	-	45	12	105	-	45	-	-	-	-	1	11	-	4.02s	-	-	-	-	-	2	14	0.17	91.11%	41	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	14	Storm	Cowboys
11	2nd Row	80:00	-	-	-	-	-	-	-	-	23	12	110	-	40	-	-	-	-	1	12	-	2.89s	-	-	-	-	-	2	15	0.17	88.89%	16	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	15	Storm	Sharks
11	2nd Row	80:00	-	-	-	-	-	-	-	-	28	9	66	-	26	-	-	-	-	2	9	-	3.14s	-	-	-	1	-	1	10	0.11	76.19%	32	8	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	16	Storm	Wests Tigers
11	2nd Row	80:00	-	-	-	-	-	-	-	-	33	15	120	-	50	-	-	-	-	2	15	-	3.87s	-	-	-	-	1	3	19	0.2	85.29%	29	4	1	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	17	Storm	Sea Eagles
11	2nd Row	74:00	-	-	-	-	-	-	-	-	49	8	88	-	43	-	-	-	-	1	8	-	3.5s	-	-	-	-	-	-	8	-	90.57%	48	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	73:59	-	18	Storm	Panthers
11	2nd Row	80:00	-	-	-	-	-	-	-	-	44	13	89	-	32	-	-	-	-	1	12	-	3.9s	-	-	-	2	-	3	15	0.23	96.55%	28	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	20	Storm	Roosters
11	2nd Row	80:00	4	1	-	-	-	-	-	-	44	12	90	-	33	1	-	-	-	2	12	-	3.6s	-	-	-	-	2	4	16	0.33	86.11%	31	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	80:00	-	21	Storm	Knights
11	2nd Row	80:00	-	-	-	-	-	-	-	-	51	14	107	-	40	-	-	-	-	1	13	-	3.53s	-	-	1	-	-	4	18	0.29	87.5%	42	2	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	80:00	-	22	Storm	Eels
