Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
8	Prop	41:00	-	-	-	-	-	-	-	-	37	7	71	11	22	-	-	-	-	1	6	-	3.45s	-	-	-	-	-	-	7	-	92.31%	24	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29:27	12:14	3	Storm	Titans
8	Prop	50:00	-	-	-	-	-	-	-	-	37	8	73	-	38	-	-	-	-	-	8	-	3.95s	-	-	-	-	-	-	8	-	94.12%	32	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31:09	18:32	4	Storm	Wests Tigers
8	Prop	36:00	-	-	-	-	-	-	-	-	45	11	128	25	51	-	-	-	-	-	9	-	3.93s	-	-	-	-	-	1	12	0.09	94.59%	35	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	20:28	13:21	5	Storm	Rabbitohs
8	Prop	39:00	-	-	-	-	-	-	-	-	44	12	87	-	26	-	-	-	-	3	12	-	3.61s	-	-	-	1	-	-	12	-	100%	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29:40	09:20	6	Storm	Roosters
8	Prop	41:00	-	-	-	-	-	-	-	-	25	9	82	11	28	-	-	-	-	-	8	-	2.77s	-	-	-	-	-	1	10	0.11	93.33%	28	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	1	-	24:39	26:02	7	Storm	Sea Eagles
21	Prop	41:00	-	-	-	-	-	-	-	-	37	12	129	-	49	-	-	-	-	-	12	-	3.67s	-	-	-	1	-	-	12	-	89.29%	25	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:38	15:41	11	Storm	Broncos
17	Prop	52:00	-	-	-	-	-	-	-	-	33	14	140	16	64	-	-	-	-	-	13	-	3.91s	-	-	-	-	1	3	17	0.21	92.59%	25	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	23:43	28:00	12	Storm	Dolphins
16	Prop	50:00	-	-	-	-	-	-	-	-	33	10	111	47	51	-	-	-	-	1	7	-	3.61s	-	-	-	-	-	1	11	0.1	89.66%	26	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	29:40	20:30	14	Storm	Cowboys
8	Prop	49:00	4	1	-	-	-	-	-	-	61	14	123	10	47	-	1	1	-	3	13	-	3.92s	-	-	-	2	-	2	18	0.14	92.31%	24	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	29:19	19:50	15	Storm	Sharks
8	Prop	47:00	-	-	-	-	-	-	-	-	38	13	147	11	66	-	-	-	-	-	12	-	3.64s	-	-	-	-	1	1	15	0.08	96.15%	25	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	47:06	-	16	Storm	Wests Tigers
16	Interchange	53:00	-	-	-	-	-	-	-	-	39	7	71	13	25	-	-	-	-	-	6	-	3.29s	-	-	-	-	-	1	9	0.14	87.5%	42	6	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	41:14	12:05	18	Storm	Panthers
8	Prop	37:00	-	-	-	-	-	-	-	-	26	7	61	-	30	-	-	-	-	1	7	-	3.66s	-	-	-	-	-	1	8	0.14	95.24%	20	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17:48	19:01	20	Storm	Roosters
8	Prop	44:00	-	-	-	-	-	-	-	-	35	13	149	24	62	-	-	-	-	-	11	-	3.44s	-	-	-	-	-	1	14	0.08	95.83%	23	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:38	16:45	21	Storm	Knights
8	Prop	57:00	-	-	-	-	-	-	-	-	40	11	85	-	34	-	-	-	-	-	11	-	3.76s	-	-	-	-	-	-	11	-	94.12%	32	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32:37	23:34	22	Storm	Eels
