Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
3	Centre	73:00	4	1	-	-	-	-	-	-	49	13	128	-	43	1	-	-	-	3	-	-	3.52s	-	-	-	2	-	2	13	0.15	75%	15	2	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	69:05	03:48	1	Eels	Storm
3	Centre	80:00	-	-	-	-	-	-	-	-	32	10	97	6	43	-	1	-	-	3	-	-	2.87s	1	8	-	-	-	7	14	0.7	90.91%	20	2	-	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	2	Eels	Sharks
3	Centre	80:00	-	-	-	-	-	-	-	-	55	15	181	-	66	-	-	-	-	5	-	-	3.02s	-	-	-	2	-	6	17	0.4	91.3%	21	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	3	Eels	Sea Eagles
3	Centre	83:00	-	-	-	-	-	-	-	-	51	15	135	5	49	-	1	1	-	-	-	-	3.31s	-	-	-	1	-	1	15	0.07	93.33%	28	1	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	83:00	-	4	Eels	Panthers
3	Centre	70:00	-	-	-	-	-	-	-	-	42	14	138	6	46	-	2	2	-	2	1	-	3.72s	-	-	-	2	-	4	19	0.29	71.43%	15	3	3	-	-	3	54	1	-	1	-	-	1	1	1	1	-	1	-	-	-	1	-	70:00	-	5	Eels	Roosters
3	Centre	80:00	4	1	-	-	-	-	-	-	49	15	150	-	44	-	1	-	-	2	-	-	4.12s	-	-	-	2	1	1	16	0.07	81.82%	18	2	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	6	Eels	Wests Tigers
3	Centre	80:00	4	1	-	-	-	-	-	-	70	14	193	-	39	2	-	1	-	3	-	-	3.43s	-	-	-	-	-	6	16	0.43	95.24%	20	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	7	Eels	Bulldogs
3	Centre	80:00	-	-	-	-	-	-	-	-	35	12	117	-	38	-	1	1	-	-	-	-	3.49s	-	-	-	1	-	2	17	0.17	82.76%	24	5	-	-	-	3	41	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	8	Eels	Broncos
3	Centre	80:00	-	-	-	-	-	-	-	-	43	14	180	-	56	2	-	-	-	7	1	-	3.38s	-	-	-	1	-	6	18	0.43	71.43%	10	4	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	1	-	-	-	80:00	-	9	Eels	Knights
3	Centre	80:00	-	-	-	-	-	-	-	-	43	13	123	-	27	1	-	-	-	2	1	-	3.8s	-	-	-	1	-	5	17	0.38	75%	21	3	4	-	-	2	3	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	10	Eels	Titans
3	Centre	80:00	-	-	-	-	-	-	-	-	34	8	116	2	30	1	1	-	-	3	1	-	3.43s	-	-	-	1	-	1	11	0.13	83.33%	15	3	-	-	1	2	30	-	-	-	-	-	-	1	2	2	-	-	-	-	-	-	-	80:00	-	11	Eels	Raiders
3	Centre	80:00	4	1	-	-	-	-	-	-	39	14	154	10	48	1	-	-	-	1	1	-	3.37s	-	-	-	-	1	3	17	0.21	81.82%	18	3	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	12	Eels	Rabbitohs
3	Centre	80:00	-	-	-	-	-	-	-	-	57	11	121	-	37	-	2	1	-	8	-	-	3.27s	-	-	-	1	1	2	11	0.18	94.74%	18	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	13	Eels	Cowboys
3	Centre	80:00	4	1	-	-	-	-	-	-	58	12	107	-	24	1	-	-	-	5	-	-	3.83s	1	13	-	4	-	1	15	0.08	82.35%	14	1	2	-	-	-	-	-	-	-	-	-	-	-	3	3	-	1	-	-	-	-	-	80:00	-	15	Eels	Bulldogs
3	Centre	80:00	-	-	-	-	-	-	-	-	26	14	101	-	39	-	-	-	-	2	-	-	3.69s	1	7	-	3	-	3	18	0.21	88.89%	8	1	-	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	16	Eels	Sea Eagles
3	Centre	80:00	8	2	-	-	-	-	-	-	59	11	161	-	30	2	-	1	-	3	-	-	4.93s	1	10	-	-	-	6	14	0.55	82.35%	14	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	17	Eels	Dolphins
3	Centre	80:00	-	-	-	-	-	-	-	-	16	10	100	-	37	-	-	-	-	5	1	-	3.3s	-	-	-	-	-	1	13	0.1	71.43%	10	4	-	-	-	-	-	-	-	-	-	-	-	-	3	2	-	-	-	-	-	-	-	80:00	-	19	Eels	Warriors
3	Centre	80:00	4	1	-	-	-	-	-	-	43	12	73	-	24	1	-	-	-	6	-	-	3.4s	-	-	-	-	-	7	15	0.58	80%	16	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	20	Eels	Titans
3	Centre	80:00	-	-	-	-	-	-	-	-	59	16	158	-	51	1	1	-	-	11	-	-	3.68s	-	-	-	2	-	3	20	0.19	84.21%	16	2	1	-	-	2	9	-	-	2	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	21	Eels	Cowboys
