Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
4	Centre	80:00	12	-	3	5	3	75%	-	-	46	13	129	-	38	-	2	1	-	3	-	-	3.7s	-	-	-	1	-	6	17	0.46	90%	9	1	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	2	Dragons	Titans
4	Centre	80:00	6	-	2	3	1	60%	-	-	40	12	119	-	47	-	1	1	-	1	-	-	3.54s	2	12	-	-	-	4	15	0.33	81.82%	18	4	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	3	Dragons	Broncos
4	Centre	80:00	-	-	-	2	-	-	-	-	9	16	125	-	37	-	-	-	-	1	-	-	3.08s	2	12	-	-	-	4	17	0.25	78.57%	11	3	-	-	-	1	9	-	-	-	-	-	-	-	4	1	-	1	-	-	-	-	-	80:00	-	4	Dragons	Sharks
4	Centre	80:00	14	1	5	7	-	71.43%	-	-	42	13	116	-	37	1	-	-	-	-	1	-	3.84s	-	-	-	-	-	3	15	0.23	83.33%	15	2	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	5	Dragons	Dolphins
4	Centre	80:00	10	1	2	3	1	75%	-	-	38	17	143	7	53	-	-	-	-	4	-	-	3.91s	1	14	-	-	-	3	20	0.18	70.59%	12	5	-	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	6	Dragons	Titans
4	Centre	80:00	2	-	-	3	1	25%	-	-	22	16	139	-	24	-	-	-	-	-	-	-	3.44s	2	23	-	-	-	10	24	0.63	77.27%	17	4	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	7	Dragons	Raiders
4	Centre	80:00	6	-	3	5	-	60%	-	-	40	14	114	-	29	-	-	-	-	1	-	-	3.69s	1	8	-	1	-	8	16	0.57	86.67%	13	1	1	1	-	1	8	-	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	8	Dragons	Roosters
4	Centre	80:00	4	-	2	3	-	66.67%	-	-	59	15	182	-	49	1	-	1	-	3	-	-	3.15s	2	12	1	-	-	5	17	0.33	88.89%	16	1	1	1	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	9	Dragons	Bulldogs
4	Centre	80:00	8	-	3	4	1	80%	-	-	43	15	103	-	24	1	-	-	-	2	-	-	3.33s	1	6	-	-	-	11	24	0.73	94.44%	17	1	-	-	-	2	69	-	-	1	-	-	-	1	1	1	-	1	-	-	1	-	-	80:00	-	12	Dragons	Roosters
4	Centre	80:00	4	-	1	2	1	66.67%	-	-	36	15	142	-	70	-	-	-	-	1	-	-	3.37s	2	14	-	-	-	5	20	0.33	78.57%	22	2	4	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	13	Dragons	Dolphins
