Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
13	Lock	80:00	-	-	-	-	-	-	-	-	66	15	158	-	50	-	-	-	-	2	10	-	4.01s	-	-	-	1	2	18	30	1.2	92.73%	51	3	1	-	-	-	-	-	-	-	-	-	-	-	2	3	-	1	-	-	-	-	-	80:00	-	1	Rabbitohs	Sharks
13	Lock	59:00	-	-	-	-	-	-	-	-	45	17	133	-	12	-	-	-	-	1	8	-	3.47s	-	-	-	1	1	16	24	0.94	88.89%	40	4	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	25:00	34:15	2	Rabbitohs	Panthers
13	Lock	67:00	-	-	-	-	-	-	-	-	63	13	114	17	14	1	-	-	-	3	6	-	3.83s	-	-	1	-	-	15	23	1.15	93.33%	42	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	53:36	13:06	3	Rabbitohs	Roosters
13	Lock	82:00	-	-	-	-	-	-	-	-	60	19	124	-	15	-	-	-	-	-	8	-	3.17s	-	-	-	-	3	29	37	1.53	91.94%	57	1	4	-	-	-	-	-	-	-	-	-	-	-	1	1	-	2	-	1	-	-	-	82:00	-	4	Rabbitohs	Sea Eagles
13	Lock	72:00	-	-	-	-	-	-	-	-	87	20	151	-	31	-	1	1	-	4	15	-	3.56s	-	-	-	3	2	17	32	0.85	100%	45	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	31:48	39:58	5	Rabbitohs	Storm
13	Lock	75:00	4	1	-	-	-	-	-	-	62	20	133	-	15	1	-	-	-	2	10	-	3.17s	-	-	-	1	-	21	31	1.05	93.94%	31	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	51:34	23:36	6	Rabbitohs	Bulldogs
13	Lock	61:00	-	-	-	-	-	-	-	-	57	17	159	-	31	-	-	-	-	6	9	-	2.4s	-	-	-	-	2	19	28	1.12	97.14%	34	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	1	-	-	29:03	31:43	7	Rabbitohs	Dolphins
13	Lock	74:00	-	-	-	-	-	-	-	-	47	17	137	-	25	-	-	-	-	-	9	-	3.17s	-	-	-	-	1	24	34	1.41	93.02%	40	3	-	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	47:40	26:24	8	Rabbitohs	Panthers
13	Lock	70:00	-	-	-	-	-	-	-	-	45	18	122	-	34	-	-	-	-	2	13	-	3.74s	-	-	-	1	4	10	24	0.56	93.33%	42	2	1	-	-	1	21	-	-	1	-	-	-	1	3	3	-	1	-	-	-	1	-	70:00	-	9	Rabbitohs	Broncos
13	Lock	53:00	-	-	-	-	-	-	-	-	29	13	115	-	24	-	-	-	-	1	10	-	3.53s	-	-	-	-	-	8	18	0.62	87.5%	28	2	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	3	-	-	-	-	-	33:31	27:40	10	Rabbitohs	Storm
