Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
10	Prop	58:00	-	-	-	-	-	-	-	-	56	14	134	27	40	-	-	-	-	1	12	-	2.52s	-	-	-	3	-	2	16	0.14	82.22%	37	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:42	32:41	1	Storm	Eels
10	Prop	62:00	-	-	-	-	-	-	-	-	54	18	154	-	55	-	-	-	-	-	15	-	3.22s	-	-	-	3	2	10	26	0.56	86.84%	33	4	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	28:56	33:25	2	Storm	Bulldogs
10	Prop	32:00	-	-	-	-	-	-	-	-	36	7	62	28	11	-	-	-	-	1	5	-	3.94s	-	-	-	-	1	1	8	0.14	96.15%	25	-	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	1	-	-	-	21:20	10:59	3	Storm	Titans
10	Prop	47:00	-	-	-	-	-	-	-	-	49	13	124	32	37	-	-	-	-	1	10	-	3.18s	-	-	-	-	3	3	16	0.23	97.56%	40	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	26:45	20:10	4	Storm	Wests Tigers
10	Prop	46:00	-	-	-	-	-	-	-	-	44	13	125	-	43	-	-	-	-	3	13	-	3.38s	-	-	-	-	2	7	20	0.54	82.93%	34	5	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	25:25	21:14	5	Storm	Rabbitohs
10	Prop	49:00	-	-	-	-	-	-	-	-	47	14	113	12	28	-	-	-	-	1	13	-	3.75s	-	-	-	1	-	3	17	0.21	96.67%	29	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	27:23	21:36	6	Storm	Roosters
10	Prop	54:00	-	-	-	-	-	-	-	-	43	16	146	5	47	-	-	-	-	-	11	-	2.87s	-	-	-	1	1	4	16	0.25	89.47%	34	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	29:40	12:44	7	Storm	Sea Eagles
10	Prop	50:00	-	-	-	-	-	-	-	-	37	15	164	43	51	-	-	-	-	1	12	-	3.89s	-	-	-	-	1	1	16	0.07	83.78%	31	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21:42	27:42	8	Storm	Warriors
10	Prop	44:00	-	-	-	-	-	-	-	-	26	12	108	17	21	-	-	-	-	-	10	-	3.6s	-	-	-	-	-	4	16	0.33	86.67%	26	4	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	24:19	19:37	10	Storm	Rabbitohs
10	Prop	52:00	-	-	-	-	-	-	-	-	41	15	150	27	47	-	-	-	-	2	13	-	3.74s	-	-	-	-	3	4	19	0.27	86.49%	32	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	20:54	31:02	11	Storm	Broncos
