Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
11	2nd Row	68:00	-	-	-	-	-	-	-	-	32	10	103	18	30	-	-	-	-	-	9	-	3.17s	-	-	-	2	-	2	12	0.2	88.89%	16	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	68:12	-	1	Cowboys	Raiders
11	2nd Row	65:00	-	-	-	-	-	-	-	-	30	4	36	-	15	-	-	-	-	-	4	-	3.12s	-	-	-	1	-	3	5	0.75	89.66%	26	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	65:02	-	2	Cowboys	Broncos
11	2nd Row	68:00	-	-	-	-	-	-	-	-	28	7	66	-	23	-	-	-	-	-	7	-	3.53s	-	-	-	-	-	1	8	0.14	84.21%	32	5	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	60:16	07:44	3	Cowboys	Warriors
11	2nd Row	65:00	-	-	-	-	-	-	-	-	35	6	67	-	26	-	-	-	-	-	6	-	2.55s	-	-	-	-	-	2	8	0.33	86.84%	33	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34:33	18:29	4	Cowboys	Titans
11	2nd Row	68:00	-	-	-	-	-	-	-	-	49	8	62	-	20	-	-	-	-	1	8	-	2.83s	-	-	-	-	-	5	12	0.63	97.83%	45	-	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	1	-	-	-	53:09	14:41	5	Cowboys	Bulldogs
11	2nd Row	70:00	4	1	-	-	-	-	-	-	51	10	105	-	52	1	-	-	-	2	10	-	3.08s	-	-	-	1	-	2	12	0.2	82.93%	34	4	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	-	1	1	-	70:00	-	6	Cowboys	Dolphins
11	Prop	39:00	-	-	-	-	-	-	-	-	30	5	59	14	11	-	-	-	-	1	4	-	2.04s	-	-	-	1	-	2	5	0.4	100%	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:22	15:28	7	Cowboys	Warriors
10	Prop	48:00	-	-	-	-	-	-	-	-	26	5	58	11	19	-	-	-	-	-	4	-	3.9s	-	-	-	-	-	-	6	-	77.78%	35	8	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	26:57	21:26	8	Cowboys	Knights
10	Prop	45:00	-	-	-	-	-	-	-	-	24	7	48	-	18	-	-	-	-	-	7	-	3.61s	-	-	-	1	-	1	8	0.14	90%	27	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	1	-	24:30	30:28	9	Cowboys	Sharks
10	Prop	46:00	-	-	-	-	-	-	-	-	54	7	57	-	23	-	1	1	-	2	7	-	3.9s	-	-	-	3	-	1	10	0.14	82.86%	29	4	2	-	-	1	31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25:04	20:47	10	Cowboys	Roosters
10	Prop	48:00	-	-	-	-	-	-	-	-	41	5	61	47	9	-	-	-	-	2	2	-	3.29s	-	-	-	1	-	1	5	0.2	96.67%	29	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:50	19:14	11	Cowboys	Dragons
