Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
9	Hooker	84:00	4	1	-	-	-	-	-	-	76	10	72	-	7	1	-	-	-	2	1	-	4.11s	8	59	-	-	1	110	121	11	89.39%	59	4	3	-	1	4	100	1	-	3	-	-	-	-	1	1	-	1	-	-	-	-	-	84:00	-	1	Storm	Eels
9	Hooker	80:00	-	-	-	-	-	-	-	-	64	9	87	8	24	-	1	1	-	4	1	-	4.19s	4	42	-	-	1	111	121	12.33	82.46%	47	7	3	-	1	6	110	1	-	4	-	-	-	1	-	-	-	2	-	-	-	-	-	80:00	-	2	Storm	Bulldogs
9	Hooker	80:00	-	-	-	-	-	-	-	-	70	7	63	-	14	-	2	3	-	3	-	-	4.24s	7	63	-	1	6	88	97	12.57	91.11%	41	2	2	-	-	4	73	-	-	3	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	3	Storm	Titans
9	Hooker	80:00	-	-	-	-	-	-	-	-	51	6	49	-	1	-	-	-	-	-	1	-	6.61s	2	14	-	-	5	118	125	19.67	90.91%	50	4	1	1	-	3	116	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	4	Storm	Wests Tigers
9	Hooker	80:00	-	-	-	-	-	-	-	-	87	15	107	-	32	-	-	-	-	2	2	-	4.06s	13	97	-	4	4	104	122	6.93	89.47%	51	4	2	-	-	6	198	1	-	1	-	-	-	-	1	1	-	-	1	-	-	-	-	80:00	-	5	Storm	Rabbitohs
9	Hooker	74:00	-	-	-	-	-	-	-	-	50	12	52	-	5	-	-	-	-	3	-	-	3.45s	11	50	-	-	2	131	141	10.92	85.37%	35	6	-	-	1	6	129	2	-	3	1	-	-	-	-	-	-	-	-	1	-	-	-	74:11	-	6	Storm	Roosters
9	Hooker	80:00	-	-	-	-	-	-	-	-	36	4	32	-	3	-	-	-	-	-	-	-	4.56s	4	32	-	1	-	97	104	24.25	90.24%	37	2	2	-	1	4	54	-	-	1	-	-	1	-	2	2	-	1	-	-	-	-	-	80:00	-	7	Storm	Sea Eagles
9	Hooker	80:00	4	1	-	-	-	-	-	-	77	10	81	-	7	1	2	1	-	5	1	-	3.48s	9	72	-	-	6	120	120	12	93.62%	44	2	1	-	-	3	44	-	-	1	-	-	-	-	2	2	-	1	1	-	-	-	-	80:00	-	8	Storm	Warriors
9	Hooker	72:00	-	-	-	-	-	-	-	-	55	5	20	-	5	-	-	-	-	-	-	-	4.23s	4	19	-	-	1	86	87	17.2	98.15%	53	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	72:05	-	10	Storm	Rabbitohs
9	Hooker	80:00	-	-	-	-	-	-	-	-	55	12	110	-	22	-	1	1	-	-	3	-	4.15s	8	82	-	2	-	127	130	10.58	87.5%	42	5	1	-	-	1	38	-	-	-	-	-	-	-	1	2	-	1	-	-	-	-	-	80:00	-	11	Storm	Broncos
