Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
14	Interchange	13:00	-	-	-	-	-	-	-	-	8	2	24	-	7	-	-	-	-	-	2	-	3.32s	-	-	-	-	-	-	2	-	75%	12	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12:43	-	1	Cowboys	Raiders
14	Interchange	26:00	-	-	-	-	-	-	-	-	24	4	34	-	11	-	-	-	-	-	3	-	3.59s	1	8	-	-	2	4	8	1	100%	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:00	-	2	Cowboys	Broncos
14	Interchange	26:00	-	-	-	-	-	-	-	-	20	4	29	-	6	-	-	-	-	-	3	-	3.12s	1	3	-	-	-	2	6	0.5	91.67%	22	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	26:41	-	3	Cowboys	Warriors
14	Interchange	40:00	-	-	-	-	-	-	-	-	10	2	15	-	2	-	-	-	-	-	-	-	2.82s	-	-	-	-	-	6	8	3	77.78%	7	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40:00	-	4	Cowboys	Titans
14	Interchange	32:00	-	-	-	-	-	-	-	-	19	4	36	-	6	-	-	-	-	-	3	-	2.82s	-	-	-	1	-	4	7	1	83.33%	20	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	32:00	-	5	Cowboys	Bulldogs
14	Interchange	49:00	-	-	-	-	-	-	-	-	26	9	58	-	18	-	-	-	-	1	6	-	2.81s	1	11	-	-	1	9	16	1	72.41%	21	5	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	48:32	-	6	Cowboys	Dolphins
14	Prop	67:00	-	-	-	-	-	-	-	-	38	11	70	-	18	-	-	-	-	1	7	-	2.83s	2	15	-	-	1	15	22	1.36	92.5%	37	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	51:05	15:37	7	Cowboys	Warriors
15	Lock	59:00	-	-	-	-	-	-	-	-	42	7	44	-	13	-	-	-	-	1	6	-	3.12s	1	5	-	-	1	5	10	0.71	95%	38	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	26:56	32:25	8	Cowboys	Knights
15	Lock	53:00	-	-	-	-	-	-	-	-	27	3	21	-	5	-	-	-	-	1	2	-	4.48s	-	-	-	-	-	4	7	1.33	89.19%	33	4	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	30:40	21:37	9	Cowboys	Sharks
14	Interchange	34:00	-	-	-	-	-	-	-	-	35	6	55	-	14	-	-	-	-	1	5	-	3.5s	1	12	-	-	-	7	13	1.17	96.3%	26	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34:09	-	10	Cowboys	Roosters
