Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
4	Centre	80:00	-	-	-	-	-	-	-	-	17	11	96	-	38	-	-	-	-	-	1	-	3.89s	-	-	-	-	-	6	14	0.55	92.31%	12	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	1	Bulldogs	Sea Eagles
4	Centre	80:00	-	-	-	-	-	-	-	-	46	20	190	2	89	-	1	1	-	3	-	-	3.06s	-	-	-	1	-	4	20	0.2	81.25%	13	2	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	2	Bulldogs	Storm
4	Centre	80:00	-	-	-	-	-	-	-	-	50	16	191	29	19	1	-	2	-	2	-	-	4.25s	2	15	-	1	1	3	17	0.19	76.92%	10	2	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	3	Bulldogs	Wests Tigers
4	Centre	80:00	-	-	-	-	-	-	-	-	29	18	159	-	44	-	-	-	-	2	-	-	3.42s	-	-	-	1	-	4	21	0.22	81.82%	9	2	-	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	4	Bulldogs	Warriors
4	Centre	85:00	-	-	-	-	-	-	-	-	47	14	133	-	16	-	2	1	-	3	-	-	3.35s	1	10	-	-	1	7	17	0.5	100%	14	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	85:00	-	5	Bulldogs	Cowboys
4	Centre	80:00	-	-	-	-	-	-	-	-	18	10	81	10	22	-	-	-	-	-	1	-	3.22s	-	-	-	-	-	4	15	0.4	77.78%	7	2	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	6	Bulldogs	Rabbitohs
4	Centre	80:00	4	1	-	-	-	-	-	-	32	15	107	10	31	-	-	-	-	1	-	-	3.48s	1	6	-	1	1	3	20	0.2	66.67%	6	2	1	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	7	Bulldogs	Eels
4	Centre	80:00	-	-	-	-	-	-	-	-	22	13	105	-	33	-	-	-	-	1	-	-	3.31s	1	9	-	3	1	7	16	0.54	55.56%	10	7	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	8	Bulldogs	Sharks
4	Centre	80:00	2	-	1	1	-	100%	-	-	24	18	124	-	37	-	-	-	-	-	-	-	3.83s	1	-	-	1	-	7	21	0.39	73.68%	14	3	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	9	Bulldogs	Dragons
4	Centre	80:00	-	-	-	-	-	-	-	-	20	13	114	-	29	-	-	-	-	4	-	-	3.23s	-	-	-	-	-	6	14	0.46	60%	6	4	-	-	-	1	31	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	80:00	-	10	Bulldogs	Raiders
