Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
4	Centre	80:00	-	-	-	-	-	-	-	-	37	14	162	-	31	-	-	-	-	4	-	-	3.7s	1	16	-	-	-	2	15	0.14	90.48%	19	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	1	Cowboys	Raiders
4	Centre	80:00	-	-	-	-	-	-	-	-	9	16	132	7	45	-	-	-	-	-	-	-	3.63s	-	-	-	-	1	2	21	0.13	77.78%	14	4	-	-	-	-	-	-	-	-	-	-	-	-	2	4	-	3	-	-	1	-	-	80:00	-	2	Cowboys	Broncos
4	Centre	85:00	-	-	-	-	-	-	-	-	29	16	183	-	27	1	-	-	-	-	1	-	3.39s	-	-	-	-	-	4	16	0.25	73.08%	19	6	1	1	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	85:00	-	5	Cowboys	Bulldogs
4	Centre	70:00	-	-	-	-	-	-	-	-	10	8	59	-	24	-	-	-	-	1	-	-	3.96s	-	-	-	-	1	3	9	0.38	69.23%	9	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	69:34	-	6	Cowboys	Dolphins
4	Centre	66:00	-	-	-	-	-	-	-	-	23	16	120	-	35	-	1	1	-	1	1	-	3.67s	1	-	-	1	1	3	16	0.19	75%	12	4	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	66:16	-	7	Cowboys	Warriors
4	Centre	80:00	-	-	-	-	-	-	-	-	48	15	162	-	55	-	1	-	-	-	1	-	3.17s	-	-	-	2	-	3	17	0.2	85.71%	18	1	2	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	8	Cowboys	Knights
4	Centre	80:00	-	-	-	-	-	-	-	-	28	12	99	-	27	-	-	-	-	1	1	-	4.16s	-	-	-	-	-	3	17	0.25	76.92%	20	3	3	-	1	-	-	-	-	-	-	-	-	-	2	2	-	1	-	-	-	-	-	80:00	-	9	Cowboys	Sharks
4	Centre	80:00	-	-	-	-	-	-	-	-	37	16	118	-	28	-	-	-	-	5	-	-	3.95s	2	13	-	2	-	5	22	0.31	69.23%	9	4	-	-	2	1	14	1	-	1	-	-	-	-	-	1	-	-	1	-	-	-	-	80:00	-	10	Cowboys	Roosters
4	Centre	80:00	-	-	-	-	-	-	-	-	25	17	169	-	47	-	-	-	-	-	-	-	3.68s	-	-	-	1	-	2	20	0.12	92.86%	13	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	2	-	-	-	-	-	80:00	-	11	Cowboys	Dragons
4	Centre	80:00	-	-	-	-	-	-	-	-	28	10	98	-	17	-	-	-	-	1	-	-	4.31s	-	-	-	1	-	1	11	0.1	77.78%	21	4	2	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	12	Cowboys	Wests Tigers
