Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
5	Winger	80:00	-	-	-	-	-	-	-	-	15	5	43	13	17	1	-	-	-	2	-	-	3.63s	-	-	-	-	-	7	12	1.4	37.5%	3	3	2	-	1	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	1	Sharks	Rabbitohs
5	Winger	80:00	4	1	-	-	-	-	-	-	40	14	172	27	46	-	1	-	-	3	-	-	3.04s	-	-	-	-	-	4	17	0.29	100%	1	-	-	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	2	Sharks	Eels
5	Winger	80:00	4	1	-	-	-	-	-	-	47	16	139	48	12	1	-	1	-	2	-	-	3.68s	1	3	-	1	1	2	15	0.13	100%	4	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	3	Sharks	Raiders
5	Winger	80:00	8	2	-	-	-	-	-	-	47	12	125	4	18	3	-	1	-	3	-	-	3.4s	-	-	-	-	-	4	17	0.33	66.67%	2	1	-	-	-	1	14	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	4	Sharks	Dragons
5	Winger	80:00	8	2	-	-	-	-	-	-	42	12	130	8	34	2	-	-	-	2	-	-	4s	-	-	-	-	-	3	15	0.25	80%	4	1	-	-	3	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	5	Sharks	Warriors
5	Winger	80:00	4	1	-	-	-	-	-	-	38	14	107	26	43	1	-	-	-	5	-	-	3.79s	1	2	-	-	-	3	18	0.21	66.67%	2	1	-	1	4	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	7	Sharks	Roosters
5	Winger	80:00	-	-	-	-	-	-	-	-	53	18	204	1	54	3	-	1	-	6	-	-	3.76s	-	-	-	-	-	3	21	0.17	85.71%	6	-	1	-	1	-	-	-	-	-	-	-	-	-	4	2	-	-	-	-	-	-	-	80:00	-	8	Sharks	Bulldogs
5	Winger	80:00	8	2	-	-	-	-	-	-	63	15	162	20	17	3	-	-	-	3	1	-	3.67s	1	8	-	-	-	5	20	0.33	75%	3	1	-	-	3	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	80:00	-	9	Sharks	Cowboys
5	Winger	80:00	4	1	-	-	-	-	-	-	43	13	107	63	5	2	-	-	-	3	-	-	2.84s	-	-	-	2	1	6	21	0.46	80%	4	1	-	-	1	-	-	-	-	-	-	-	-	-	2	3	-	-	-	-	-	-	-	80:00	-	10	Sharks	Dolphins
5	Winger	80:00	-	-	-	-	-	-	-	-	39	20	139	27	31	-	-	-	-	6	1	-	3.38s	-	-	-	1	-	3	23	0.15	100%	8	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	11	Sharks	Sea Eagles
