Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
4	Centre	80:00	4	1	-	-	-	-	-	-	37	12	143	-	42	-	-	-	-	6	-	-	4.96s	-	-	-	-	-	7	18	0.58	69.23%	9	4	-	-	-	1	9	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	1	Panthers	Broncos
4	Centre	80:00	6	1	1	1	-	100%	-	-	58	12	137	4	51	1	1	1	-	2	1	-	3.03s	-	-	-	-	-	6	16	0.5	90.48%	19	-	2	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	2	Panthers	Rabbitohs
4	Centre	83:00	-	-	-	-	-	-	-	-	29	5	67	-	23	-	-	-	-	1	-	-	3.52s	-	-	-	-	1	6	9	1.2	89.29%	25	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	83:00	-	4	Panthers	Eels
4	Centre	70:00	4	1	-	-	-	-	-	-	8	7	63	-	23	-	-	-	-	-	-	-	3s	-	-	-	1	-	6	11	0.86	83.33%	5	1	-	-	-	1	14	-	-	1	-	-	-	-	1	-	-	3	-	-	-	1	-	70:00	-	5	Panthers	Raiders
4	Centre	80:00	-	-	-	-	-	-	-	-	40	15	144	4	56	-	1	1	-	3	-	-	4.01s	-	-	-	-	1	5	14	0.33	80%	8	2	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	6	Panthers	Sea Eagles
4	Centre	81:00	-	-	-	-	-	-	-	-	24	7	61	-	21	-	1	1	-	2	-	-	3.49s	-	-	-	-	-	4	10	0.57	90%	9	-	1	-	-	-	-	-	-	-	-	-	-	-	3	3	-	-	-	1	-	-	-	81:00	-	7	Panthers	Knights
4	Centre	80:00	18	3	2	3	1	75%	-	-	64	15	181	31	36	2	-	-	-	6	-	-	3.89s	1	11	-	-	-	6	22	0.4	59.09%	13	6	3	-	1	-	-	-	-	-	-	-	-	-	2	2	-	1	-	-	-	-	-	80:00	-	8	Panthers	Rabbitohs
4	Centre	80:00	4	-	1	1	1	100%	-	-	37	10	131	8	29	1	-	-	-	4	-	-	3.57s	-	-	-	-	-	7	15	0.7	100%	13	-	-	-	1	-	-	-	-	-	-	-	-	-	3	2	-	-	-	-	-	-	-	80:00	-	9	Panthers	Wests Tigers
4	Centre	80:00	-	-	-	-	-	-	-	-	37	14	121	20	37	-	-	-	-	4	1	-	3.17s	1	10	-	-	1	3	16	0.21	90.48%	19	1	1	-	-	2	27	-	-	2	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	10	Panthers	Warriors
4	Centre	80:00	-	-	-	-	-	-	-	-	39	11	110	-	51	-	-	-	-	1	3	-	4.73s	-	-	-	1	-	7	17	0.64	77.27%	17	-	5	1	-	2	35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	11	Panthers	Roosters
4	Centre	80:00	-	-	-	-	-	-	-	-	44	16	172	-	56	-	-	-	-	6	2	-	3.74s	-	-	-	-	-	7	21	0.44	73.91%	17	5	1	-	-	1	12	-	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-	80:00	-	12	Panthers	Broncos
4	Centre	80:00	8	-	2	3	2	80%	-	-	21	7	58	-	14	-	-	-	-	3	-	-	4.32s	-	-	-	-	-	2	10	0.29	70.59%	12	5	-	-	-	1	16	1	-	1	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	14	Panthers	Dragons
4	Centre	80:00	14	1	4	5	1	83.33%	-	-	64	14	151	-	47	1	1	1	-	4	2	-	4.13s	-	-	-	2	-	3	17	0.21	73.68%	14	4	1	-	-	-	-	-	-	-	-	-	-	-	2	-	-	1	-	-	-	-	-	80:00	-	15	Panthers	Roosters
4	Centre	80:00	14	1	5	6	-	83.33%	-	-	52	16	139	-	54	-	-	-	-	2	-	-	4.2s	-	-	-	-	1	3	17	0.19	85.71%	12	2	-	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	18	Panthers	Storm
4	Centre	80:00	4	1	-	-	-	-	-	-	28	7	55	6	16	1	1	1	-	4	-	-	4.51s	-	-	-	-	-	8	10	1.14	40%	2	3	-	-	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	21	Panthers	Bulldogs
4	Centre	80:00	-	-	-	-	-	-	-	-	29	14	106	7	40	-	1	1	-	2	-	-	4.13s	-	-	-	1	-	7	17	0.5	100%	6	-	-	-	-	1	7	-	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	22	Panthers	Sharks
